Genera,category,Gene,gene_family,consensus_gene_name,consensus_product,threshold,alleles_at_maximum_threshold,number_genomes,average_dose,min_dose,max_dose,genomes_containing_fissions,genomes_containing_duplications,number_fission_loci,number_duplicated_loci,no_loci,products,gene_names,min_length(bp),max_length(bp),average_length(bp),cluster,cluster_order,ctg11571_94x_c_out,ctg11573_57x_c_out,ctg11580_43x_c_out,ctg11583_26x_l_out,ctg12262_45x_rc_out,ctg12265_259x_c_out,ctg17713_78x_rc_out,ctg17714_147x_c_out,ctg19218_26x_l_out,ctg28506_71x_c_out,ctg28510_23x_c_out,ctg28514_14x_l_out,ctg28519_42x_rc_out,ctg28529_146x_c_out,ctg31170_33x_c_out,ctg3232_136x_c_out,ctg3233_28x_c_out,ctg3237_11x_rc_out,ctg3239_19x_c_out,ctg3535_13x_c_out,ctg3537_17x_c_out,ctg3538_48x_rc_out,ctg3539_72x_c_out,ctg38907_13x_c_out,ctg3918_9x_c_out,ctg4047_12x_l_out,ctg4048_27x_c_out,ctg50905_118x_l_out,ctg50906_34x_c_out,ctg5737_54x_c_out,ctg6176_23x_c_out,ctg6275_14x_rc_out,ctg6277_75x_c_out,ctg6823_21x_c_out,ctg6826_23x_c_out,ctg6853_20x_rc_out,ctg7042_92x_c_out,ctg7044_122x_c_out,ctg7139_147x_c_out,ctg7140_24x_rc_out,ctg7143_29x_rc_out,ctg7145_199x_c_out,ctg7146_44x_c_out,ctg7556_40x_c_out,ctg7560_68x_c_out,ctg7563_129x_c_out,ctg7571_82x_c_out,ctg7608_72x_c_out,ctg8298_26x_c_out,ctg8299_8x_l_out,ctg8300_17x_c_out,ctg8302_19x_c_out,ctg8305_31x_c_out,ctg8306_37x_l_out,ctg9278_89x_c_out,ctg9279_63x_c_out,ctg9281_23x_c_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000002889_000000006,g000002889,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),780,780,780,587,2,,,,,ctg17712_446x_c_out_00315,ctg19216_30x_l_out_01695,,ctg3234_454x_rc_out_00169,ctg3283_168x_c_out_00950,ctg3536_31x_rc_out_02340,ctg3919_109x_c_out_00767,ctg4049_88x_c_out_01342,,ctg6177_57x_c_out_02147,,ctg6822_146x_l_out_00221,ctg7043_580x_c_out_00970,ctg7141_490x_c_out_00607,,ctg7609_150x_c_out_01610,,,ctg8348_32x_c_out_01514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000002862_000000006,g000002862,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),1344,1344,1344,714,1,,,,,ctg17712_446x_c_out_01049,ctg19216_30x_l_out_00049,,ctg3234_454x_rc_out_01807,ctg3283_168x_c_out_01802,ctg3536_31x_rc_out_00665,ctg3919_109x_c_out_01521,ctg4049_88x_c_out_02077,,ctg6177_57x_c_out_00408,,ctg6822_146x_l_out_01892,ctg7043_580x_c_out_01822,ctg7141_490x_c_out_02342,,ctg7609_150x_c_out_00805,,,ctg8348_32x_c_out_00710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000002686_000000006,g000002686,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),2127,2127,2127,748,1,,,,,ctg17712_446x_c_out_00889,ctg19216_30x_l_out_02281,,ctg3234_454x_rc_out_01953,ctg3283_168x_c_out_01656,ctg3536_31x_rc_out_00490,ctg3919_109x_c_out_01362,ctg4049_88x_c_out_01917,,ctg6177_57x_c_out_00250,,ctg6822_146x_l_out_02067,ctg7043_580x_c_out_01676,ctg7141_490x_c_out_00033,,ctg7609_150x_c_out_00964,,,ctg8348_32x_c_out_00869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003220_000000006,g000003220,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),537,537,537,574,11,,,,,ctg17712_446x_c_out_00353,ctg19216_30x_l_out_01733,,ctg3234_454x_rc_out_00135,ctg3283_168x_c_out_00984,ctg3536_31x_rc_out_02398,ctg3919_109x_c_out_00825,ctg4049_88x_c_out_01380,,ctg6177_57x_c_out_02185,,ctg6822_146x_l_out_00163,ctg7043_580x_c_out_01004,ctg7141_490x_c_out_00569,,ctg7609_150x_c_out_01572,,,ctg8348_32x_c_out_01476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003227_000000006,g000003227,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),531,531,531,730,1,,,,,ctg17712_446x_c_out_01769,ctg19216_30x_l_out_00543,,ctg3234_454x_rc_out_01128,ctg3283_168x_c_out_02481,ctg3536_31x_rc_out_01372,ctg3919_109x_c_out_02226,ctg4049_88x_c_out_00327,,ctg6177_57x_c_out_01131,,ctg6822_146x_l_out_01188,ctg7043_580x_c_out_00013,ctg7141_490x_c_out_01623,,ctg7609_150x_c_out_00081,,,ctg8348_32x_c_out_02530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003627_000000006,g000003627,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),294,294,294,644,1,,,,,ctg17712_446x_c_out_01614,ctg19216_30x_l_out_00662,,ctg3234_454x_rc_out_01283,ctg3283_168x_c_out_02327,ctg3536_31x_rc_out_01208,ctg3919_109x_c_out_02062,ctg4049_88x_c_out_00171,,ctg6177_57x_c_out_00971,,ctg6822_146x_l_out_01352,ctg7043_580x_c_out_02349,ctg7141_490x_c_out_01779,,ctg7609_150x_c_out_00241,,,ctg8348_32x_c_out_00147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003644_000000006,g000003644,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),219,279,274.38,622,2,,,,,ctg17712_446x_c_out_02033,ctg19216_30x_l_out_00278,,ctg3234_454x_rc_out_00868,ctg3283_168x_c_out_00253,ctg3536_31x_rc_out_01639,ctg3919_109x_c_out_00063,ctg4049_88x_c_out_00590,,ctg6177_57x_c_out_01395,,ctg6822_146x_l_out_00922,ctg7043_580x_c_out_00272,ctg7141_490x_c_out_01359,,ctg7609_150x_c_out_02361,,,ctg8348_32x_c_out_02265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003649_000000006,g000003649,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),276,276,276,576,10,,,,,ctg17712_446x_c_out_02254,ctg19216_30x_l_out_01219,,ctg3234_454x_rc_out_00648,ctg3283_168x_c_out_00472,ctg3536_31x_rc_out_01861,ctg3919_109x_c_out_00286,ctg4049_88x_c_out_00812,,ctg6177_57x_c_out_01615,,ctg6822_146x_l_out_00700,ctg7043_580x_c_out_00492,ctg7141_490x_c_out_01139,,ctg7609_150x_c_out_02141,,,ctg8348_32x_c_out_02045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003650_000000006,g000003650,ricR,Copper-sensing transcriptional repressor RicR,98,1,13,1,1,1,0,0,0,0,13,Copper-sensing transcriptional repressor RicR(13),ricR(13),276,276,276,586,1,,,,,ctg17712_446x_c_out_02266,ctg19216_30x_l_out_01231,,ctg3234_454x_rc_out_00636,ctg3283_168x_c_out_00484,ctg3536_31x_rc_out_01873,ctg3919_109x_c_out_00298,ctg4049_88x_c_out_00824,,ctg6177_57x_c_out_01627,,ctg6822_146x_l_out_00688,ctg7043_580x_c_out_00504,ctg7141_490x_c_out_01127,,ctg7609_150x_c_out_02129,,,ctg8348_32x_c_out_02033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003655_000000006,g000003655,phnW,2-aminoethylphosphonate--pyruvate transaminase,98,1,13,1,1,1,0,0,0,0,13,2-aminoethylphosphonate--pyruvate transaminase(13),phnW(13),273,273,273,585,5,,,,,ctg17712_446x_c_out_01223,ctg19216_30x_l_out_01053,,ctg3234_454x_rc_out_01632,ctg3283_168x_c_out_01978,ctg3536_31x_rc_out_00839,ctg3919_109x_c_out_01694,ctg4049_88x_c_out_02250,,ctg6177_57x_c_out_00580,,ctg6822_146x_l_out_01719,ctg7043_580x_c_out_01999,ctg7141_490x_c_out_02169,,ctg7609_150x_c_out_00633,,,ctg8348_32x_c_out_00538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003656_000000006,g000003656,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),273,273,273,615,1,,,,,ctg17712_446x_c_out_01488,ctg19216_30x_l_out_00787,,ctg3234_454x_rc_out_01368,ctg3283_168x_c_out_02242,ctg3536_31x_rc_out_01103,ctg3919_109x_c_out_01959,ctg4049_88x_c_out_00045,,ctg6177_57x_c_out_00844,,ctg6822_146x_l_out_01455,ctg7043_580x_c_out_02264,ctg7141_490x_c_out_01905,,ctg7609_150x_c_out_00368,,,ctg8348_32x_c_out_00274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003620_000000006,g000003620,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),240,300,253.85,708,1,,,,,ctg17712_446x_c_out_00920,ctg19216_30x_l_out_02312,,ctg3234_454x_rc_out_01922,ctg3283_168x_c_out_01687,ctg3536_31x_rc_out_00521,ctg3919_109x_c_out_01393,ctg4049_88x_c_out_01949,,ctg6177_57x_c_out_00281,,ctg6822_146x_l_out_02036,ctg7043_580x_c_out_01707,ctg7141_490x_c_out_00002,,ctg7609_150x_c_out_00933,,,ctg8348_32x_c_out_00838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003658_000000006,g000003658,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),270,270,270,582,3,,,,,ctg17712_446x_c_out_01077,ctg19216_30x_l_out_00077,,ctg3234_454x_rc_out_01779,ctg3283_168x_c_out_01830,ctg3536_31x_rc_out_00694,ctg3919_109x_c_out_01549,ctg4049_88x_c_out_02105,,ctg6177_57x_c_out_00435,,ctg6822_146x_l_out_01864,ctg7043_580x_c_out_01850,ctg7141_490x_c_out_02314,,ctg7609_150x_c_out_00778,,,ctg8348_32x_c_out_00683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003663_000000006,g000003663,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),267,267,267,596,4,,,,,ctg17712_446x_c_out_01029,ctg19216_30x_l_out_00029,,ctg3234_454x_rc_out_01827,ctg3283_168x_c_out_01782,ctg3536_31x_rc_out_00645,ctg3919_109x_c_out_01501,ctg4049_88x_c_out_02057,,ctg6177_57x_c_out_00388,,ctg6822_146x_l_out_01912,ctg7043_580x_c_out_01802,ctg7141_490x_c_out_02362,,ctg7609_150x_c_out_00825,,,ctg8348_32x_c_out_00730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003686_000000006,g000003686,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),255,255,255,648,1,,,,,ctg17712_446x_c_out_00659,ctg19216_30x_l_out_02049,,ctg3234_454x_rc_out_02186,ctg3283_168x_c_out_01424,ctg3536_31x_rc_out_00256,ctg3919_109x_c_out_01130,ctg4049_88x_c_out_01687,,ctg6177_57x_c_out_00022,,ctg6822_146x_l_out_02300,ctg7043_580x_c_out_01444,ctg7141_490x_c_out_00262,,ctg7609_150x_c_out_01192,,,ctg8348_32x_c_out_01097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003689_000000006,g000003689,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),252,252,252,595,5,,,,,ctg17712_446x_c_out_00404,ctg19216_30x_l_out_01784,,ctg3234_454x_rc_out_00081,ctg3283_168x_c_out_01038,ctg3536_31x_rc_out_02449,ctg3919_109x_c_out_00876,ctg4049_88x_c_out_01431,,ctg6177_57x_c_out_02236,,ctg6822_146x_l_out_00112,ctg7043_580x_c_out_01058,ctg7141_490x_c_out_00518,,ctg7609_150x_c_out_01521,,,ctg8348_32x_c_out_01425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003697_000000006,g000003697,,Putative sulfur carrier protein,98,1,13,1,1,1,0,0,0,0,13,Putative sulfur carrier protein(13),NA(13),249,249,249,603,5,,,,,ctg17712_446x_c_out_00669,ctg19216_30x_l_out_02059,,ctg3234_454x_rc_out_02176,ctg3283_168x_c_out_01434,ctg3536_31x_rc_out_00266,ctg3919_109x_c_out_01140,ctg4049_88x_c_out_01697,,ctg6177_57x_c_out_00032,,ctg6822_146x_l_out_02290,ctg7043_580x_c_out_01454,ctg7141_490x_c_out_00252,,ctg7609_150x_c_out_01182,,,ctg8348_32x_c_out_01087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003705_000000006,g000003705,rssB,Regulator of RpoS,98,1,13,1,1,1,0,0,0,0,13,Regulator of RpoS(13),rssB(13),243,243,243,598,2,,,,,ctg17712_446x_c_out_02372,ctg19216_30x_l_out_01337,,ctg3234_454x_rc_out_00529,ctg3283_168x_c_out_00591,ctg3536_31x_rc_out_01979,ctg3919_109x_c_out_00405,ctg4049_88x_c_out_00929,,ctg6177_57x_c_out_01732,,ctg6822_146x_l_out_00582,ctg7043_580x_c_out_00612,ctg7141_490x_c_out_01022,,ctg7609_150x_c_out_02024,,,ctg8348_32x_c_out_01928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003714_000000006,g000003714,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),240,240,240,607,3,,,,,ctg17712_446x_c_out_00655,ctg19216_30x_l_out_02045,,ctg3234_454x_rc_out_02190,ctg3283_168x_c_out_01420,ctg3536_31x_rc_out_00252,ctg3919_109x_c_out_01126,ctg4049_88x_c_out_01683,,ctg6177_57x_c_out_00018,,ctg6822_146x_l_out_02304,ctg7043_580x_c_out_01440,ctg7141_490x_c_out_00266,,ctg7609_150x_c_out_01196,,,ctg8348_32x_c_out_01101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003659_000000006,g000003659,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),270,270,270,622,1,,,,,ctg17712_446x_c_out_02032,ctg19216_30x_l_out_00279,,ctg3234_454x_rc_out_00869,ctg3283_168x_c_out_00252,ctg3536_31x_rc_out_01638,ctg3919_109x_c_out_00062,ctg4049_88x_c_out_00589,,ctg6177_57x_c_out_01394,,ctg6822_146x_l_out_00923,ctg7043_580x_c_out_00271,ctg7141_490x_c_out_01360,,ctg7609_150x_c_out_02362,,,ctg8348_32x_c_out_02266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003728_000000006,g000003728,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),234,234,234,614,1,,,,,ctg17712_446x_c_out_00450,ctg19216_30x_l_out_01830,,ctg3234_454x_rc_out_00036,ctg3283_168x_c_out_01082,ctg3536_31x_rc_out_02495,ctg3919_109x_c_out_00922,ctg4049_88x_c_out_01477,,ctg6177_57x_c_out_02282,,ctg6822_146x_l_out_00067,ctg7043_580x_c_out_01103,ctg7141_490x_c_out_00472,,ctg7609_150x_c_out_01475,,,ctg8348_32x_c_out_01379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003614_000000006,g000003614,ureA,Urease subunit gamma,98,1,13,1,1,1,0,0,0,0,13,Urease subunit gamma(13),ureA(13),303,303,303,580,1,,,,,ctg17712_446x_c_out_00615,ctg19216_30x_l_out_02005,,ctg3234_454x_rc_out_02230,ctg3283_168x_c_out_01380,ctg3536_31x_rc_out_00212,ctg3919_109x_c_out_01086,ctg4049_88x_c_out_01643,,ctg6177_57x_c_out_02521,,ctg6822_146x_l_out_02345,ctg7043_580x_c_out_01400,ctg7141_490x_c_out_00306,,ctg7609_150x_c_out_01236,,,ctg8348_32x_c_out_01141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003612_000000006,g000003612,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),303,303,303,590,4,,,,,ctg17712_446x_c_out_00233,ctg19216_30x_l_out_01615,,ctg3234_454x_rc_out_00249,ctg3283_168x_c_out_00870,ctg3536_31x_rc_out_02259,ctg3919_109x_c_out_00686,ctg4049_88x_c_out_01261,,ctg6177_57x_c_out_02066,,ctg6822_146x_l_out_00302,ctg7043_580x_c_out_00891,ctg7141_490x_c_out_00689,,ctg7609_150x_c_out_01690,,,ctg8348_32x_c_out_01595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003561_000000006,g000003561,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),330,330,330,627,2,,,,,ctg17712_446x_c_out_01675,ctg19216_30x_l_out_00614,,ctg3234_454x_rc_out_01226,ctg3283_168x_c_out_02383,ctg3536_31x_rc_out_01276,ctg3919_109x_c_out_02130,ctg4049_88x_c_out_00232,,ctg6177_57x_c_out_01036,,ctg6822_146x_l_out_01284,ctg7043_580x_c_out_02406,ctg7141_490x_c_out_01718,,ctg7609_150x_c_out_00176,,,ctg8348_32x_c_out_00082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003562_000000006,g000003562,,hypothetical protein,98,1,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),255,330,260.77,590,1,,,,,ctg17712_446x_c_out_00229,ctg19216_30x_l_out_01608,,ctg3234_454x_rc_out_00253,ctg3283_168x_c_out_00866,ctg3536_31x_rc_out_02255,ctg3919_109x_c_out_00682,ctg4049_88x_c_out_01257,,ctg6177_57x_c_out_02062,,ctg6822_146x_l_out_00306,ctg7043_580x_c_out_00887,ctg7141_490x_c_out_00693,,ctg7609_150x_c_out_01694,,,ctg8348_32x_c_out_01599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003568_000000006,g000003568,yneA,Cell division suppressor protein YneA,98,1,13,1,1,1,0,0,0,0,13,Cell division suppressor protein YneA(13),yneA(13),327,327,327,766,1,,,,,ctg17712_446x_c_out_00662,ctg19216_30x_l_out_02052,,ctg3234_454x_rc_out_02183,ctg3283_168x_c_out_01427,ctg3536_31x_rc_out_00259,ctg3919_109x_c_out_01133,ctg4049_88x_c_out_01690,,ctg6177_57x_c_out_00025,,ctg6822_146x_l_out_02297,ctg7043_580x_c_out_01447,ctg7141_490x_c_out_00259,,ctg7609_150x_c_out_01189,,,ctg8348_32x_c_out_01094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003569_000000006,g000003569,,Oxalate-binding protein,98,1,13,1,1,1,0,0,0,0,13,Oxalate-binding protein(13),NA(13),327,327,327,779,1,,,,,ctg17712_446x_c_out_02005,ctg19216_30x_l_out_00306,,ctg3234_454x_rc_out_00895,ctg3283_168x_c_out_00226,ctg3536_31x_rc_out_01610,ctg3919_109x_c_out_00034,ctg4049_88x_c_out_00562,,ctg6177_57x_c_out_01366,,ctg6822_146x_l_out_00951,ctg7043_580x_c_out_00245,ctg7141_490x_c_out_01387,,ctg7609_150x_c_out_02390,,,ctg8348_32x_c_out_02294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megasphaera,site_village_bool,g000003571_000000006,g000003571,tpf1,Antigen TpF1,98,1,13,1,1,1,0,0,0,0,13,Antigen TpF1(13),tpf1(13),312,327,315.46,586,6,,,,,ctg17712_446x_c_out_02272,ctg19216_30x_l_out_01237,,ctg3234_454x_rc_out_00630,ctg3283_168x_c_out_00490,ctg3536_31x_rc_out_01879,ctg3919_109x_c_out_00304,ctg4049_88x_c_out_00830,,ctg6177_57x_c_out_01633,,ctg6822_146x_l_out_00682,ctg7043_580x_c_out_00510,ctg7141_490x_c_out_01121,,ctg7609_150x_c_out_02123,,,ctg8348_32x_c_out_02027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
