Approach,Sample,Contig_number,Assembler,seq_assemble,Sample_name,Contig_Length_bp,
ONT,d5,85,metamdbg,ONT metamdbg,ONT_d5_metamdbg,182682,
ONT,d5,86,metamdbg,ONT metamdbg,ONT_d5_metamdbg,179723,
ONT,d5,87,metamdbg,ONT metamdbg,ONT_d5_metamdbg,178909,
ONT,d5,88,metamdbg,ONT metamdbg,ONT_d5_metamdbg,176293,
ONT,d5,89,metamdbg,ONT metamdbg,ONT_d5_metamdbg,175681,
ONT,d5,90,metamdbg,ONT metamdbg,ONT_d5_metamdbg,174315,
ONT,d5,91,metamdbg,ONT metamdbg,ONT_d5_metamdbg,172937,
ONT,d5,92,metamdbg,ONT metamdbg,ONT_d5_metamdbg,169228,
ONT,d5,93,metamdbg,ONT metamdbg,ONT_d5_metamdbg,168809,
ONT,d5,94,metamdbg,ONT metamdbg,ONT_d5_metamdbg,168183,
ONT,d5,95,metamdbg,ONT metamdbg,ONT_d5_metamdbg,167598,
ONT,d5,96,metamdbg,ONT metamdbg,ONT_d5_metamdbg,165508,
ONT,d5,97,metamdbg,ONT metamdbg,ONT_d5_metamdbg,164512,
ONT,d5,98,metamdbg,ONT metamdbg,ONT_d5_metamdbg,164472,
ONT,d5,99,metamdbg,ONT metamdbg,ONT_d5_metamdbg,163936,
ONT,d5,100,metamdbg,ONT metamdbg,ONT_d5_metamdbg,161304,
PacBio,d5,1,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,9750940,
PacBio,d5,2,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,6940325,
PacBio,d5,3,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,5539480,
PacBio,d5,4,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,5036215,
PacBio,d5,5,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,4516454,
PacBio,d5,6,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,4474052,
PacBio,d5,7,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,3929935,
PacBio,d5,8,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,3885651,
PacBio,d5,9,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,3839417,
PacBio,d5,10,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,3819920,
PacBio,d5,11,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,3403240,
PacBio,d5,12,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,3174043,
PacBio,d5,13,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2979847,
PacBio,d5,14,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2904689,
PacBio,d5,15,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2781216,
PacBio,d5,16,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2686119,
PacBio,d5,17,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2644788,
PacBio,d5,18,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2591263,
PacBio,d5,19,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2535079,
PacBio,d5,20,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2508860,
PacBio,d5,21,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2474487,
PacBio,d5,22,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2437456,
PacBio,d5,23,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2431266,
PacBio,d5,24,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2411449,
PacBio,d5,25,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2362000,
PacBio,d5,26,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2348885,
PacBio,d5,27,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2253536,
PacBio,d5,28,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2239032,
PacBio,d5,29,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,2027649,
PacBio,d5,30,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1975557,
PacBio,d5,31,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1959130,
PacBio,d5,32,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1816212,
PacBio,d5,33,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1728295,
PacBio,d5,34,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1380690,
PacBio,d5,35,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1326396,
PacBio,d5,36,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1283520,
PacBio,d5,37,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1225400,
PacBio,d5,38,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1191155,
PacBio,d5,39,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1185987,
PacBio,d5,40,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1113404,
PacBio,d5,41,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1107937,
PacBio,d5,42,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1086445,
PacBio,d5,43,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1034740,
PacBio,d5,44,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,1007072,
PacBio,d5,45,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,966021,
PacBio,d5,46,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,956249,
PacBio,d5,47,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,947504,
PacBio,d5,48,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,909017,
PacBio,d5,49,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,893706,
PacBio,d5,50,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,892024,
PacBio,d5,51,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,891669,
PacBio,d5,52,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,870639,
PacBio,d5,53,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,868016,
PacBio,d5,54,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,867200,
PacBio,d5,55,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,850483,
PacBio,d5,56,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,846155,
PacBio,d5,57,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,793639,
PacBio,d5,58,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,784445,
PacBio,d5,59,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,757436,
PacBio,d5,60,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,754974,
PacBio,d5,61,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,751662,
PacBio,d5,62,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,731752,
PacBio,d5,63,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,718164,
PacBio,d5,64,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,711443,
PacBio,d5,65,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,705681,
PacBio,d5,66,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,700819,
PacBio,d5,67,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,692876,
PacBio,d5,68,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,681897,
PacBio,d5,69,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,672538,
PacBio,d5,70,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,666564,
PacBio,d5,71,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,651436,
PacBio,d5,72,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,643619,
PacBio,d5,73,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,642829,
PacBio,d5,74,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,642708,
PacBio,d5,75,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,637991,
PacBio,d5,76,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,620340,
PacBio,d5,77,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,585834,
PacBio,d5,78,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,583923,
PacBio,d5,79,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,580358,
PacBio,d5,80,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,576841,
PacBio,d5,81,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,566861,
PacBio,d5,82,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,565681,
PacBio,d5,83,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,563151,
PacBio,d5,84,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,552932,
PacBio,d5,85,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,551048,
PacBio,d5,86,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,547804,
PacBio,d5,87,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,547046,
PacBio,d5,88,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,536892,
PacBio,d5,89,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,536600,
PacBio,d5,90,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,535407,
PacBio,d5,91,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,532039,
PacBio,d5,92,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,526607,
PacBio,d5,93,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,523716,
PacBio,d5,94,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,521166,
PacBio,d5,95,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,516686,
PacBio,d5,96,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,510028,
PacBio,d5,97,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,506478,
PacBio,d5,98,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,492997,
PacBio,d5,99,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,490632,
PacBio,d5,100,metamdbg,PacBio metamdbg,PacBio_d5_metamdbg,490281,
ONT,d5,1,metaflye,ONT metaflye,ONT_d5_metaflye,5035285,
ONT,d5,2,metaflye,ONT metaflye,ONT_d5_metaflye,3929948,
ONT,d5,3,metaflye,ONT metaflye,ONT_d5_metaflye,3919043,
ONT,d5,4,metaflye,ONT metaflye,ONT_d5_metaflye,3815819,
ONT,d5,5,metaflye,ONT metaflye,ONT_d5_metaflye,3602822,
ONT,d5,6,metaflye,ONT metaflye,ONT_d5_metaflye,2534170,
ONT,d5,7,metaflye,ONT metaflye,ONT_d5_metaflye,2474689,
ONT,d5,8,metaflye,ONT metaflye,ONT_d5_metaflye,2393739,
ONT,d5,9,metaflye,ONT metaflye,ONT_d5_metaflye,2373679,
ONT,d5,10,metaflye,ONT metaflye,ONT_d5_metaflye,2361925,
ONT,d5,11,metaflye,ONT metaflye,ONT_d5_metaflye,2311857,
ONT,d5,12,metaflye,ONT metaflye,ONT_d5_metaflye,2174468,
ONT,d5,13,metaflye,ONT metaflye,ONT_d5_metaflye,2079980,
ONT,d5,14,metaflye,ONT metaflye,ONT_d5_metaflye,2038003,
ONT,d5,15,metaflye,ONT metaflye,ONT_d5_metaflye,2026065,
ONT,d5,16,metaflye,ONT metaflye,ONT_d5_metaflye,1972001,
ONT,d5,17,metaflye,ONT metaflye,ONT_d5_metaflye,1950695,
ONT,d5,18,metaflye,ONT metaflye,ONT_d5_metaflye,1728321,
ONT,d5,19,metaflye,ONT metaflye,ONT_d5_metaflye,1689874,
ONT,d5,20,metaflye,ONT metaflye,ONT_d5_metaflye,1610581,
ONT,d5,21,metaflye,ONT metaflye,ONT_d5_metaflye,1559569,
ONT,d5,22,metaflye,ONT metaflye,ONT_d5_metaflye,1398604,
ONT,d5,23,metaflye,ONT metaflye,ONT_d5_metaflye,1371436,
ONT,d5,24,metaflye,ONT metaflye,ONT_d5_metaflye,1348484,
ONT,d5,25,metaflye,ONT metaflye,ONT_d5_metaflye,1341773,
ONT,d5,26,metaflye,ONT metaflye,ONT_d5_metaflye,1285574,
ONT,d5,27,metaflye,ONT metaflye,ONT_d5_metaflye,1265558,
ONT,d5,28,metaflye,ONT metaflye,ONT_d5_metaflye,1224461,
ONT,d5,29,metaflye,ONT metaflye,ONT_d5_metaflye,1150847,
ONT,d5,30,metaflye,ONT metaflye,ONT_d5_metaflye,1131981,
ONT,d5,31,metaflye,ONT metaflye,ONT_d5_metaflye,1120058,
ONT,d5,32,metaflye,ONT metaflye,ONT_d5_metaflye,1095919,
ONT,d5,33,metaflye,ONT metaflye,ONT_d5_metaflye,1089872,
ONT,d5,34,metaflye,ONT metaflye,ONT_d5_metaflye,918323,
ONT,d5,35,metaflye,ONT metaflye,ONT_d5_metaflye,911613,
ONT,d5,36,metaflye,ONT metaflye,ONT_d5_metaflye,906742,
ONT,d5,37,metaflye,ONT metaflye,ONT_d5_metaflye,887995,
ONT,d5,38,metaflye,ONT metaflye,ONT_d5_metaflye,871010,
ONT,d5,39,metaflye,ONT metaflye,ONT_d5_metaflye,819286,
ONT,d5,40,metaflye,ONT metaflye,ONT_d5_metaflye,790397,
ONT,d5,41,metaflye,ONT metaflye,ONT_d5_metaflye,761935,
ONT,d5,42,metaflye,ONT metaflye,ONT_d5_metaflye,723515,
ONT,d5,43,metaflye,ONT metaflye,ONT_d5_metaflye,707538,
ONT,d5,44,metaflye,ONT metaflye,ONT_d5_metaflye,686016,
ONT,d5,45,metaflye,ONT metaflye,ONT_d5_metaflye,678188,
ONT,d5,46,metaflye,ONT metaflye,ONT_d5_metaflye,672222,
ONT,d5,47,metaflye,ONT metaflye,ONT_d5_metaflye,654119,
ONT,d5,48,metaflye,ONT metaflye,ONT_d5_metaflye,644227,
ONT,d5,49,metaflye,ONT metaflye,ONT_d5_metaflye,642457,
ONT,d5,50,metaflye,ONT metaflye,ONT_d5_metaflye,637327,
ONT,d5,51,metaflye,ONT metaflye,ONT_d5_metaflye,632160,
ONT,d5,52,metaflye,ONT metaflye,ONT_d5_metaflye,628624,
ONT,d5,53,metaflye,ONT metaflye,ONT_d5_metaflye,621513,
ONT,d5,54,metaflye,ONT metaflye,ONT_d5_metaflye,618683,
ONT,d5,55,metaflye,ONT metaflye,ONT_d5_metaflye,579375,
ONT,d5,56,metaflye,ONT metaflye,ONT_d5_metaflye,578138,
ONT,d5,57,metaflye,ONT metaflye,ONT_d5_metaflye,557028,
ONT,d5,58,metaflye,ONT metaflye,ONT_d5_metaflye,555284,
ONT,d5,59,metaflye,ONT metaflye,ONT_d5_metaflye,549917,
ONT,d5,60,metaflye,ONT metaflye,ONT_d5_metaflye,543193,
ONT,d5,61,metaflye,ONT metaflye,ONT_d5_metaflye,529295,
ONT,d5,62,metaflye,ONT metaflye,ONT_d5_metaflye,527691,
ONT,d5,63,metaflye,ONT metaflye,ONT_d5_metaflye,524959,
ONT,d5,64,metaflye,ONT metaflye,ONT_d5_metaflye,522216,
ONT,d5,65,metaflye,ONT metaflye,ONT_d5_metaflye,514082,
ONT,d5,66,metaflye,ONT metaflye,ONT_d5_metaflye,506274,
ONT,d5,67,metaflye,ONT metaflye,ONT_d5_metaflye,501160,
ONT,d5,68,metaflye,ONT metaflye,ONT_d5_metaflye,496876,
ONT,d5,69,metaflye,ONT metaflye,ONT_d5_metaflye,495094,
ONT,d5,70,metaflye,ONT metaflye,ONT_d5_metaflye,494645,
ONT,d5,71,metaflye,ONT metaflye,ONT_d5_metaflye,493093,
ONT,d5,72,metaflye,ONT metaflye,ONT_d5_metaflye,490656,
ONT,d5,73,metaflye,ONT metaflye,ONT_d5_metaflye,477595,
ONT,d5,74,metaflye,ONT metaflye,ONT_d5_metaflye,477003,
ONT,d5,75,metaflye,ONT metaflye,ONT_d5_metaflye,476864,
ONT,d5,76,metaflye,ONT metaflye,ONT_d5_metaflye,476598,
ONT,d5,77,metaflye,ONT metaflye,ONT_d5_metaflye,470207,
ONT,d5,78,metaflye,ONT metaflye,ONT_d5_metaflye,468895,
ONT,d5,79,metaflye,ONT metaflye,ONT_d5_metaflye,467548,
ONT,d5,80,metaflye,ONT metaflye,ONT_d5_metaflye,461559,
ONT,d5,81,metaflye,ONT metaflye,ONT_d5_metaflye,458171,
ONT,d5,82,metaflye,ONT metaflye,ONT_d5_metaflye,457925,
ONT,d5,83,metaflye,ONT metaflye,ONT_d5_metaflye,449079,
ONT,d5,84,metaflye,ONT metaflye,ONT_d5_metaflye,446670,
ONT,d5,85,metaflye,ONT metaflye,ONT_d5_metaflye,443722,
ONT,d5,86,metaflye,ONT metaflye,ONT_d5_metaflye,431173,
ONT,d5,87,metaflye,ONT metaflye,ONT_d5_metaflye,429324,
ONT,d5,88,metaflye,ONT metaflye,ONT_d5_metaflye,424663,
ONT,d5,89,metaflye,ONT metaflye,ONT_d5_metaflye,417738,
ONT,d5,90,metaflye,ONT metaflye,ONT_d5_metaflye,408431,
ONT,d5,91,metaflye,ONT metaflye,ONT_d5_metaflye,404895,
ONT,d5,92,metaflye,ONT metaflye,ONT_d5_metaflye,403123,
ONT,d5,93,metaflye,ONT metaflye,ONT_d5_metaflye,402758,
ONT,d5,94,metaflye,ONT metaflye,ONT_d5_metaflye,402454,
ONT,d5,95,metaflye,ONT metaflye,ONT_d5_metaflye,397356,
ONT,d5,96,metaflye,ONT metaflye,ONT_d5_metaflye,396418,
ONT,d5,97,metaflye,ONT metaflye,ONT_d5_metaflye,395126,
ONT,d5,98,metaflye,ONT metaflye,ONT_d5_metaflye,394789,
ONT,d5,99,metaflye,ONT metaflye,ONT_d5_metaflye,392306,
ONT,d5,100,metaflye,ONT metaflye,ONT_d5_metaflye,381383,
PacBio,d5,1,metaflye,PacBio metaflye,PacBio_d5_metaflye,4999280,
PacBio,d5,2,metaflye,PacBio metaflye,PacBio_d5_metaflye,4293317,
PacBio,d5,3,metaflye,PacBio metaflye,PacBio_d5_metaflye,4262895,
PacBio,d5,4,metaflye,PacBio metaflye,PacBio_d5_metaflye,4023245,
PacBio,d5,5,metaflye,PacBio metaflye,PacBio_d5_metaflye,3925571,
PacBio,d5,6,metaflye,PacBio metaflye,PacBio_d5_metaflye,3911637,
PacBio,d5,7,metaflye,PacBio metaflye,PacBio_d5_metaflye,3605680,
PacBio,d5,8,metaflye,PacBio metaflye,PacBio_d5_metaflye,2929343,
PacBio,d5,9,metaflye,PacBio metaflye,PacBio_d5_metaflye,2809930,
PacBio,d5,10,metaflye,PacBio metaflye,PacBio_d5_metaflye,2781203,
PacBio,d5,11,metaflye,PacBio metaflye,PacBio_d5_metaflye,2725828,
PacBio,d5,12,metaflye,PacBio metaflye,PacBio_d5_metaflye,2591238,
PacBio,d5,13,metaflye,PacBio metaflye,PacBio_d5_metaflye,2534582,
PacBio,d5,14,metaflye,PacBio metaflye,PacBio_d5_metaflye,2508859,
PacBio,d5,15,metaflye,PacBio metaflye,PacBio_d5_metaflye,2493648,
PacBio,d5,16,metaflye,PacBio metaflye,PacBio_d5_metaflye,2474628,
PacBio,d5,17,metaflye,PacBio metaflye,PacBio_d5_metaflye,2443983,
PacBio,d5,18,metaflye,PacBio metaflye,PacBio_d5_metaflye,2433130,
PacBio,d5,19,metaflye,PacBio metaflye,PacBio_d5_metaflye,2431283,
PacBio,d5,20,metaflye,PacBio metaflye,PacBio_d5_metaflye,2264584,
PacBio,d5,21,metaflye,PacBio metaflye,PacBio_d5_metaflye,2238414,
PacBio,d5,22,metaflye,PacBio metaflye,PacBio_d5_metaflye,2223543,
PacBio,d5,23,metaflye,PacBio metaflye,PacBio_d5_metaflye,2076978,
PacBio,d5,24,metaflye,PacBio metaflye,PacBio_d5_metaflye,2022644,
PacBio,d5,25,metaflye,PacBio metaflye,PacBio_d5_metaflye,1988153,
PacBio,d5,26,metaflye,PacBio metaflye,PacBio_d5_metaflye,1975571,
PacBio,d5,27,metaflye,PacBio metaflye,PacBio_d5_metaflye,1859551,
PacBio,d5,28,metaflye,PacBio metaflye,PacBio_d5_metaflye,1791696,
PacBio,d5,29,metaflye,PacBio metaflye,PacBio_d5_metaflye,1773045,
PacBio,d5,30,metaflye,PacBio metaflye,PacBio_d5_metaflye,1734977,
PacBio,d5,31,metaflye,PacBio metaflye,PacBio_d5_metaflye,1728296,
PacBio,d5,32,metaflye,PacBio metaflye,PacBio_d5_metaflye,1675582,
PacBio,d5,33,metaflye,PacBio metaflye,PacBio_d5_metaflye,1489438,
PacBio,d5,34,metaflye,PacBio metaflye,PacBio_d5_metaflye,1425242,
PacBio,d5,35,metaflye,PacBio metaflye,PacBio_d5_metaflye,1304425,
PacBio,d5,36,metaflye,PacBio metaflye,PacBio_d5_metaflye,1293787,
